-((-280 + 243*d)/(250 - 385*d + 144*d**2)),-((-180 + 179*d)/(250 - 385*d + 144*d**2)),-((-280 + 243*d)/(250 - 385*d + 144*d**2)),-((-180 + 179*d)/(250 - 385*d + 144*d**2)),-((-280 + 243*d)/(250 - 385*d + 144*d**2)),-((-180 + 179*d)/(250 - 385*d + 144*d**2)),-((-280 + 243*d)/(250 - 385*d + 144*d**2)),-((-180 + 179*d)/(250 - 385*d + 144*d**2)),0
-((20 - 27*d)/(250 - 385*d + 144*d**2)),-((120 - 91*d)/(250 - 385*d + 144*d**2)),-((20 - 27*d)/(250 - 385*d + 144*d**2)),-((120 - 91*d)/(250 - 385*d + 144*d**2)),-((20 - 27*d)/(250 - 385*d + 144*d**2)),-((120 - 91*d)/(250 - 385*d + 144*d**2)),-((20 - 27*d)/(250 - 385*d + 144*d**2)),-((120 - 91*d)/(250 - 385*d + 144*d**2)),0
(2*(-25 + 35*d + 3*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(10*(-30 + 13*d + 7*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(2*(-25 + 35*d + 3*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(10*(-30 + 13*d + 7*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(2*(-25 + 35*d + 3*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(10*(-30 + 13*d + 7*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(2*(350 - 555*d + 227*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),(2*(225 - 25*d - 361*d**2 + 192*d**3))/(625 - 900*d + 270*d**2 + 32*d**3),0
-1/5*(10 - d)/(25 - 41*d + 16*d**2),-1/5*(-300 + 505*d - 196*d**2)/((-5 + 4*d)*(25 - 41*d + 16*d**2)),-1/5*(700 - 1135*d + 444*d**2)/((-5 + 4*d)*(25 - 41*d + 16*d**2)),-1/5*(-90 + 163*d - 64*d**2)/(25 - 41*d + 16*d**2),-1/5*(10 - d)/(25 - 41*d + 16*d**2),-1/5*(-300 + 505*d - 196*d**2)/((-5 + 4*d)*(25 - 41*d + 16*d**2)),-1/5*(10 - d)/(25 - 41*d + 16*d**2),-1/5*(-300 + 505*d - 196*d**2)/((-5 + 4*d)*(25 - 41*d + 16*d**2)),0
-((-100 + 95*d + 4*d**2)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),-((-600 + 815*d - 252*d**2)/((-5 + 4*d)*(250 - 385*d + 144*d**2))),(-5*(280 - 453*d + 180*d**2))/((-5 + 4*d)*(250 - 385*d + 144*d**2)),-((900 - 1045*d - 76*d**2 + 256*d**3)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),-((-100 + 95*d + 4*d**2)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),-((-600 + 815*d - 252*d**2)/((-5 + 4*d)*(250 - 385*d + 144*d**2))),(-5*(280 - 453*d + 180*d**2))/(-1250 + 2925*d - 2260*d**2 + 576*d**3),-((900 - 1045*d - 76*d**2 + 256*d**3)/(-1250 + 2925*d - 2260*d**2 + 576*d**3)),0
-1/5*(-10 - 9*d)/(-25 + 16*d),-1/25*(-300 + 565*d - 288*d**2)/(-25 + 16*d),-1/5*(-10 - 9*d)/(-25 + 16*d),-1/25*(-300 + 565*d - 288*d**2)/(-25 + 16*d),-1/25*(700 - 475*d - 32*d**2)/(-25 + 16*d),-1/5*(90 - 73*d)/(-25 + 16*d),-1/5*(-10 - 9*d)/(-25 + 16*d),-1/25*(-300 + 565*d - 288*d**2)/(-25 + 16*d),0
-((100 + 85*d + 108*d**2)/(1250 - 675*d - 180*d**2 + 64*d**3)),-((600 - 935*d - 644*d**2 + 768*d**3)/(1250 - 675*d - 180*d**2 + 64*d**3)),-((100 + 85*d + 108*d**2)/(1250 - 675*d - 180*d**2 + 64*d**3)),-((600 - 935*d - 644*d**2 + 768*d**3)/(1250 - 675*d - 180*d**2 + 64*d**3)),-((-1400 + 945*d + 172*d**2)/(1250 - 675*d - 180*d**2 + 64*d**3)),(-5*(-180 - 115*d + 188*d**2))/(1250 - 675*d - 180*d**2 + 64*d**3),-((-1400 + 945*d + 172*d**2)/(1250 - 675*d - 180*d**2 + 64*d**3)),(-5*(-180 - 115*d + 188*d**2))/(1250 - 675*d - 180*d**2 + 64*d**3),0
-1/5*(100 + 135*d - 72*d**2)/(250 - 385*d + 144*d**2),-1/5*(600 - 1685*d + 1688*d**2 - 512*d**3)/(250 - 385*d + 144*d**2),-1/5*(-1400 + 995*d - 8*d**2)/(250 - 385*d + 144*d**2),-1/5*(-900 + 1675*d - 648*d**2)/(250 - 385*d + 144*d**2),-1/5*(-1400 + 995*d - 8*d**2)/(250 - 385*d + 144*d**2),-1/5*(-900 + 1675*d - 648*d**2)/(250 - 385*d + 144*d**2),-1/5*(100 + 135*d - 72*d**2)/(250 - 385*d + 144*d**2),-1/5*(600 - 1685*d + 1688*d**2 - 512*d**3)/(250 - 385*d + 144*d**2),0
-((50 + 65*d + 18*d**2)/(625 - 900*d + 270*d**2 + 32*d**3)),-((300 - 745*d + 234*d**2 + 128*d**3)/(625 - 900*d + 270*d**2 + 32*d**3)),(-5*(-140 + 99*d + 10*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),-((-450 + 185*d + 146*d**2)/(625 - 900*d + 270*d**2 + 32*d**3)),(-5*(-140 + 99*d + 10*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),-((-450 + 185*d + 146*d**2)/(625 - 900*d + 270*d**2 + 32*d**3)),(-5*(-140 + 99*d + 10*d**2))/(625 - 900*d + 270*d**2 + 32*d**3),-((-450 + 185*d + 146*d**2)/(625 - 900*d + 270*d**2 + 32*d**3)),0
(-2*(-350 + 275*d + d**2))/(625 - 400*d - 450*d**2 + 288*d**3),(-2*(-225 + 145*d - 67*d**2 + 64*d**3))/(625 - 400*d - 450*d**2 + 288*d**3),(-10*(5 - 63*d + 45*d**2))/(625 - 400*d - 450*d**2 + 288*d**3),(2*(-150 - 55*d + 63*d**2))/(625 - 400*d - 450*d**2 + 288*d**3),(-10*(5 - 63*d + 45*d**2))/(625 - 400*d - 450*d**2 + 288*d**3),(2*(-150 - 55*d + 63*d**2))/(625 - 400*d - 450*d**2 + 288*d**3),(-10*(5 - 63*d + 45*d**2))/(625 - 400*d - 450*d**2 + 288*d**3),(2*(-150 - 55*d + 63*d**2))/(625 - 400*d - 450*d**2 + 288*d**3),0
